age,duration,residence_since,credit_amount,class
67,6,4,1169,good
22,48,2,5951,bad
49,12,3,2096,good
45,42,4,7882,good
53,24,4,4870,bad
35,36,4,9055,good
53,24,4,2835,good
35,36,2,6948,good
61,12,4,3059,good
28,30,2,5234,bad
25,12,1,1295,bad
24,48,4,4308,bad
22,12,1,1567,good
60,24,4,1199,bad
28,15,4,1403,good
32,24,2,1282,bad
53,24,4,2424,good
25,30,3,8072,good
44,24,2,12579,bad
31,24,2,3430,good
48,9,4,2134,good
44,6,3,2647,good
48,10,3,2241,good
44,12,4,1804,good
26,10,1,2069,good
36,6,2,1374,good
39,6,4,426,good
42,12,3,409,good
34,7,2,2415,good
63,60,4,6836,bad
36,18,3,1913,good
27,24,2,4020,good
30,18,2,5866,good
57,12,4,1264,good
33,12,1,1474,good
25,45,2,4746,bad
31,48,3,6110,good
37,18,2,2100,bad
37,10,2,1225,good
24,9,3,458,good
30,30,2,2333,good
26,12,1,1158,good
44,18,4,6204,good
24,30,4,6187,good
58,48,4,6143,bad
35,11,4,1393,good
39,36,4,2299,good
23,6,2,1352,good
39,11,4,7228,good
28,12,2,2073,good
29,24,2,2333,good
30,27,2,5965,good
25,12,2,1262,good
31,18,1,3378,good
57,36,4,2225,bad
26,6,2,783,good
52,12,1,6468,bad
31,36,2,9566,good
23,18,2,1961,good
23,36,4,6229,bad
27,9,1,1391,good
50,15,4,1537,good
61,36,4,1953,bad
25,48,2,14421,bad
26,24,4,3181,good
48,27,4,5190,good
29,12,2,2171,good
22,12,1,1007,good
37,36,4,1819,bad
25,36,4,2394,good
30,36,2,8133,good
46,7,2,730,good
51,8,4,1164,good
41,42,1,5954,good
40,36,4,1977,bad
66,12,4,1526,good
34,42,3,3965,bad
51,11,4,4771,good
39,54,2,9436,good
22,30,1,3832,good
44,24,1,5943,bad
47,15,3,1213,good
24,18,4,1568,good
58,24,4,1755,good
52,10,4,2315,good
29,12,2,1412,good
27,18,1,1295,good
47,36,4,12612,bad
30,18,3,2249,good
28,12,3,1108,bad
56,12,4,618,good
54,12,3,1409,good
33,12,3,797,bad
20,24,4,3617,good
54,12,4,1318,good
58,54,4,15945,bad
61,12,2,2012,good
34,18,4,2622,good
36,36,4,2337,good
36,20,4,7057,good
41,24,4,1469,good
24,36,4,2323,good
24,6,2,932,good
